Q1,Q2,Q3,Q4,Q5_3,I9#1_1,I9#1_2,I9#1_3,I9#1_4,I9#1_5,I9#1_6,I9#1_7,I9#1_8,I11,I12,I13,I14_1
Male,Bachelor's Degree,Caucasian or White,Did not vote,4.5,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,5.5
Female,Some College,Caucasian or White,Donald Trump,4.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Yes,No,No,7
Male,Bachelor's Degree,Asian,Hillary Clinton,7,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,7
Male,Bachelor's Degree,Asian,Hillary Clinton,5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,No,No,No,4
Male,Some College,African American or Black,Other,5.5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,No,No,No,4.1
Male,Master's Degree,Caucasian or White,Hillary Clinton,3.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Yes,No,No,7
Male,Some College,Caucasian or White,Did not vote,1.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6.1
Female,Bachelor's Degree,Caucasian or White,Other,5.5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,1.6
Male,Bachelor's Degree,Caucasian or White,Donald Trump,5.1,Should be deported,Should be deported,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,Yes,5.7
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.6,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,Yes,No,No,5
Male,Bachelor's Degree,Caucasian or White,Donald Trump,4,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,4
Female,Bachelor's Degree,Caucasian or White,Donald Trump,5.6,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,2
Female,Some College,Caucasian or White,Donald Trump,6.7,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Female,Some College,Caucasian or White,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,Yes,No,4
